Time: 2022-03-13 16:07:03,384 Message:  * Detected change in '/home/pi/Desktop/brickpi2022/interfaces/camerainterface.py', reloading
Time: 2022-03-13 16:07:04,152 Message:  * Restarting with stat
Time: 2022-03-14 13:00:21,895 Message: 127.0.0.1 - - [14/Mar/2022 13:00:21] "[36mGET /static/js/dashboard.js HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:21,895 Message: 127.0.0.1 - - [14/Mar/2022 13:00:21] "[36mGET /static/js/mapping.js HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:22,004 Message: 127.0.0.1 - - [14/Mar/2022 13:00:22] "[36mGET /static/css/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:22,082 Message: 127.0.0.1 - - [14/Mar/2022 13:00:22] "[36mGET /static/favicon.ico HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,193 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "GET /dashboard HTTP/1.1" 200 -
Time: 2022-03-14 13:00:35,286 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/css/dark_mode_css.css HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,286 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/css/custom.css HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,286 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/css/soll_custom.css HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,302 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/css/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,302 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/js/data_processing.js HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,302 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/js/ajax_function.js HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,302 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/js/brick_pi_2022_dashboard.js HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,318 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/js/mr_nielsens_code_not_used/new_ajax_helper.js HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,318 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/js/custom.js HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,318 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/js/dashboard.js HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,318 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/js/mapping.js HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,428 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/css/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:00:35,491 Message: 127.0.0.1 - - [14/Mar/2022 13:00:35] "[36mGET /static/favicon.ico HTTP/1.1[0m" 304 -
Time: 2022-03-14 13:06:06,203 Message: LOADING CAMERA
Time: 2022-03-14 13:06:06,203 Message: FLASK APP: CAMERA NOT WORKING
Time: 2022-03-14 13:06:06,203 Message: FLASK APP: LOADING THE ROBOT
Time: 2022-03-14 13:06:06,203 Message: FLASK APP: LOADING THE SOUND
Time: 2022-03-14 13:06:06,211 Message: 127.0.0.1 - - [14/Mar/2022 13:06:06] "POST /robotload HTTP/1.1" 200 -
Time: 2022-03-14 13:06:06,227 Message: 127.0.0.1 - - [14/Mar/2022 13:06:06] "[35m[1mGET /videofeed HTTP/1.1[0m" 204 -
Time: 2022-03-14 13:06:33,149 Message: 127.0.0.1 - - [14/Mar/2022 13:06:33] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:35,107 Message: 127.0.0.1 - - [14/Mar/2022 13:06:35] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:37,773 Message: 127.0.0.1 - - [14/Mar/2022 13:06:37] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:37,773 Message: 127.0.0.1 - - [14/Mar/2022 13:06:37] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:39,773 Message: 127.0.0.1 - - [14/Mar/2022 13:06:39] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:39,773 Message: 127.0.0.1 - - [14/Mar/2022 13:06:39] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:41,801 Message: 127.0.0.1 - - [14/Mar/2022 13:06:41] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:41,816 Message: 127.0.0.1 - - [14/Mar/2022 13:06:41] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:43,784 Message: 127.0.0.1 - - [14/Mar/2022 13:06:43] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:43,784 Message: 127.0.0.1 - - [14/Mar/2022 13:06:43] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:45,786 Message: 127.0.0.1 - - [14/Mar/2022 13:06:45] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:45,786 Message: 127.0.0.1 - - [14/Mar/2022 13:06:45] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:47,786 Message: 127.0.0.1 - - [14/Mar/2022 13:06:47] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:47,786 Message: 127.0.0.1 - - [14/Mar/2022 13:06:47] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:49,785 Message: 127.0.0.1 - - [14/Mar/2022 13:06:49] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:49,785 Message: 127.0.0.1 - - [14/Mar/2022 13:06:49] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:51,796 Message: 127.0.0.1 - - [14/Mar/2022 13:06:51] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:51,796 Message: 127.0.0.1 - - [14/Mar/2022 13:06:51] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:53,790 Message: 127.0.0.1 - - [14/Mar/2022 13:06:53] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:53,790 Message: 127.0.0.1 - - [14/Mar/2022 13:06:53] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:55,782 Message: 127.0.0.1 - - [14/Mar/2022 13:06:55] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:55,782 Message: 127.0.0.1 - - [14/Mar/2022 13:06:55] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:57,790 Message: 127.0.0.1 - - [14/Mar/2022 13:06:57] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:57,790 Message: 127.0.0.1 - - [14/Mar/2022 13:06:57] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:59,106 Message: 127.0.0.1 - - [14/Mar/2022 13:06:59] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:06:59,645 Message: 127.0.0.1 - - [14/Mar/2022 13:06:59] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:01,106 Message: 127.0.0.1 - - [14/Mar/2022 13:07:01] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:01,657 Message: 127.0.0.1 - - [14/Mar/2022 13:07:01] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:03,786 Message: 127.0.0.1 - - [14/Mar/2022 13:07:03] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:03,801 Message: 127.0.0.1 - - [14/Mar/2022 13:07:03] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:05,788 Message: 127.0.0.1 - - [14/Mar/2022 13:07:05] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:05,788 Message: 127.0.0.1 - - [14/Mar/2022 13:07:05] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:07,771 Message: 127.0.0.1 - - [14/Mar/2022 13:07:07] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:07,771 Message: 127.0.0.1 - - [14/Mar/2022 13:07:07] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:09,781 Message: 127.0.0.1 - - [14/Mar/2022 13:07:09] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:09,797 Message: 127.0.0.1 - - [14/Mar/2022 13:07:09] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:11,781 Message: 127.0.0.1 - - [14/Mar/2022 13:07:11] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:11,781 Message: 127.0.0.1 - - [14/Mar/2022 13:07:11] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:13,797 Message: 127.0.0.1 - - [14/Mar/2022 13:07:13] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:13,797 Message: 127.0.0.1 - - [14/Mar/2022 13:07:13] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:15,794 Message: 127.0.0.1 - - [14/Mar/2022 13:07:15] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:15,794 Message: 127.0.0.1 - - [14/Mar/2022 13:07:15] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:17,780 Message: 127.0.0.1 - - [14/Mar/2022 13:07:17] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:17,795 Message: 127.0.0.1 - - [14/Mar/2022 13:07:17] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:19,782 Message: 127.0.0.1 - - [14/Mar/2022 13:07:19] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:19,782 Message: 127.0.0.1 - - [14/Mar/2022 13:07:19] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:21,776 Message: 127.0.0.1 - - [14/Mar/2022 13:07:21] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:21,776 Message: 127.0.0.1 - - [14/Mar/2022 13:07:21] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:23,771 Message: 127.0.0.1 - - [14/Mar/2022 13:07:23] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:23,771 Message: 127.0.0.1 - - [14/Mar/2022 13:07:23] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:25,781 Message: 127.0.0.1 - - [14/Mar/2022 13:07:25] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:25,781 Message: 127.0.0.1 - - [14/Mar/2022 13:07:25] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:27,790 Message: 127.0.0.1 - - [14/Mar/2022 13:07:27] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:27,790 Message: 127.0.0.1 - - [14/Mar/2022 13:07:27] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:29,785 Message: 127.0.0.1 - - [14/Mar/2022 13:07:29] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:29,785 Message: 127.0.0.1 - - [14/Mar/2022 13:07:29] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:31,788 Message: 127.0.0.1 - - [14/Mar/2022 13:07:31] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:31,788 Message: 127.0.0.1 - - [14/Mar/2022 13:07:31] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:33,779 Message: 127.0.0.1 - - [14/Mar/2022 13:07:33] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:33,794 Message: 127.0.0.1 - - [14/Mar/2022 13:07:33] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:35,785 Message: 127.0.0.1 - - [14/Mar/2022 13:07:35] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:35,785 Message: 127.0.0.1 - - [14/Mar/2022 13:07:35] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:37,780 Message: 127.0.0.1 - - [14/Mar/2022 13:07:37] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:37,782 Message: 127.0.0.1 - - [14/Mar/2022 13:07:37] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:39,782 Message: 127.0.0.1 - - [14/Mar/2022 13:07:39] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:39,782 Message: 127.0.0.1 - - [14/Mar/2022 13:07:39] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:41,782 Message: 127.0.0.1 - - [14/Mar/2022 13:07:41] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:41,782 Message: 127.0.0.1 - - [14/Mar/2022 13:07:41] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:43,791 Message: 127.0.0.1 - - [14/Mar/2022 13:07:43] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:43,791 Message: 127.0.0.1 - - [14/Mar/2022 13:07:43] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:45,157 Message: 127.0.0.1 - - [14/Mar/2022 13:07:45] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:45,644 Message: 127.0.0.1 - - [14/Mar/2022 13:07:45] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:47,789 Message: 127.0.0.1 - - [14/Mar/2022 13:07:47] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:47,789 Message: 127.0.0.1 - - [14/Mar/2022 13:07:47] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:49,773 Message: 127.0.0.1 - - [14/Mar/2022 13:07:49] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:49,788 Message: 127.0.0.1 - - [14/Mar/2022 13:07:49] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:51,816 Message: 127.0.0.1 - - [14/Mar/2022 13:07:51] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:51,816 Message: 127.0.0.1 - - [14/Mar/2022 13:07:51] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:53,788 Message: 127.0.0.1 - - [14/Mar/2022 13:07:53] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:53,788 Message: 127.0.0.1 - - [14/Mar/2022 13:07:53] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:55,790 Message: 127.0.0.1 - - [14/Mar/2022 13:07:55] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:55,790 Message: 127.0.0.1 - - [14/Mar/2022 13:07:55] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:57,778 Message: 127.0.0.1 - - [14/Mar/2022 13:07:57] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:57,778 Message: 127.0.0.1 - - [14/Mar/2022 13:07:57] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:59,792 Message: 127.0.0.1 - - [14/Mar/2022 13:07:59] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:07:59,792 Message: 127.0.0.1 - - [14/Mar/2022 13:07:59] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:01,794 Message: 127.0.0.1 - - [14/Mar/2022 13:08:01] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:01,810 Message: 127.0.0.1 - - [14/Mar/2022 13:08:01] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:03,794 Message: 127.0.0.1 - - [14/Mar/2022 13:08:03] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:03,794 Message: 127.0.0.1 - - [14/Mar/2022 13:08:03] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:05,787 Message: 127.0.0.1 - - [14/Mar/2022 13:08:05] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:05,796 Message: 127.0.0.1 - - [14/Mar/2022 13:08:05] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:07,792 Message: 127.0.0.1 - - [14/Mar/2022 13:08:07] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:07,792 Message: 127.0.0.1 - - [14/Mar/2022 13:08:07] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:09,774 Message: 127.0.0.1 - - [14/Mar/2022 13:08:09] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:09,774 Message: 127.0.0.1 - - [14/Mar/2022 13:08:09] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:11,791 Message: 127.0.0.1 - - [14/Mar/2022 13:08:11] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:11,791 Message: 127.0.0.1 - - [14/Mar/2022 13:08:11] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:13,799 Message: 127.0.0.1 - - [14/Mar/2022 13:08:13] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:13,799 Message: 127.0.0.1 - - [14/Mar/2022 13:08:13] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:15,795 Message: 127.0.0.1 - - [14/Mar/2022 13:08:15] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:15,795 Message: 127.0.0.1 - - [14/Mar/2022 13:08:15] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:17,781 Message: 127.0.0.1 - - [14/Mar/2022 13:08:17] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:17,781 Message: 127.0.0.1 - - [14/Mar/2022 13:08:17] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:19,780 Message: 127.0.0.1 - - [14/Mar/2022 13:08:19] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:19,780 Message: 127.0.0.1 - - [14/Mar/2022 13:08:19] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:21,795 Message: 127.0.0.1 - - [14/Mar/2022 13:08:21] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:21,795 Message: 127.0.0.1 - - [14/Mar/2022 13:08:21] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:23,789 Message: 127.0.0.1 - - [14/Mar/2022 13:08:23] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:23,805 Message: 127.0.0.1 - - [14/Mar/2022 13:08:23] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:25,777 Message: 127.0.0.1 - - [14/Mar/2022 13:08:25] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:25,793 Message: 127.0.0.1 - - [14/Mar/2022 13:08:25] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:27,792 Message: 127.0.0.1 - - [14/Mar/2022 13:08:27] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:27,792 Message: 127.0.0.1 - - [14/Mar/2022 13:08:27] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:29,784 Message: 127.0.0.1 - - [14/Mar/2022 13:08:29] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:29,784 Message: 127.0.0.1 - - [14/Mar/2022 13:08:29] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:31,789 Message: 127.0.0.1 - - [14/Mar/2022 13:08:31] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:31,789 Message: 127.0.0.1 - - [14/Mar/2022 13:08:31] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:33,784 Message: 127.0.0.1 - - [14/Mar/2022 13:08:33] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:33,784 Message: 127.0.0.1 - - [14/Mar/2022 13:08:33] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:35,786 Message: 127.0.0.1 - - [14/Mar/2022 13:08:35] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:35,786 Message: 127.0.0.1 - - [14/Mar/2022 13:08:35] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:37,781 Message: 127.0.0.1 - - [14/Mar/2022 13:08:37] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:37,781 Message: 127.0.0.1 - - [14/Mar/2022 13:08:37] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:39,779 Message: 127.0.0.1 - - [14/Mar/2022 13:08:39] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:39,779 Message: 127.0.0.1 - - [14/Mar/2022 13:08:39] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:41,790 Message: 127.0.0.1 - - [14/Mar/2022 13:08:41] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:41,790 Message: 127.0.0.1 - - [14/Mar/2022 13:08:41] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:43,789 Message: 127.0.0.1 - - [14/Mar/2022 13:08:43] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:43,789 Message: 127.0.0.1 - - [14/Mar/2022 13:08:43] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:45,791 Message: 127.0.0.1 - - [14/Mar/2022 13:08:45] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:45,791 Message: 127.0.0.1 - - [14/Mar/2022 13:08:45] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:47,773 Message: 127.0.0.1 - - [14/Mar/2022 13:08:47] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:47,788 Message: 127.0.0.1 - - [14/Mar/2022 13:08:47] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:49,793 Message: 127.0.0.1 - - [14/Mar/2022 13:08:49] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:49,793 Message: 127.0.0.1 - - [14/Mar/2022 13:08:49] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:51,807 Message: 127.0.0.1 - - [14/Mar/2022 13:08:51] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:51,807 Message: 127.0.0.1 - - [14/Mar/2022 13:08:51] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:53,776 Message: 127.0.0.1 - - [14/Mar/2022 13:08:53] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:53,791 Message: 127.0.0.1 - - [14/Mar/2022 13:08:53] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:55,790 Message: 127.0.0.1 - - [14/Mar/2022 13:08:55] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:55,790 Message: 127.0.0.1 - - [14/Mar/2022 13:08:55] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:57,783 Message: 127.0.0.1 - - [14/Mar/2022 13:08:57] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:57,797 Message: 127.0.0.1 - - [14/Mar/2022 13:08:57] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:59,781 Message: 127.0.0.1 - - [14/Mar/2022 13:08:59] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:08:59,781 Message: 127.0.0.1 - - [14/Mar/2022 13:08:59] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:01,781 Message: 127.0.0.1 - - [14/Mar/2022 13:09:01] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:01,781 Message: 127.0.0.1 - - [14/Mar/2022 13:09:01] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:03,799 Message: 127.0.0.1 - - [14/Mar/2022 13:09:03] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:03,799 Message: 127.0.0.1 - - [14/Mar/2022 13:09:03] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:05,780 Message: 127.0.0.1 - - [14/Mar/2022 13:09:05] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:05,780 Message: 127.0.0.1 - - [14/Mar/2022 13:09:05] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:07,794 Message: 127.0.0.1 - - [14/Mar/2022 13:09:07] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:07,810 Message: 127.0.0.1 - - [14/Mar/2022 13:09:07] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:09,784 Message: 127.0.0.1 - - [14/Mar/2022 13:09:09] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:09,784 Message: 127.0.0.1 - - [14/Mar/2022 13:09:09] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:11,788 Message: 127.0.0.1 - - [14/Mar/2022 13:09:11] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:11,788 Message: 127.0.0.1 - - [14/Mar/2022 13:09:11] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:13,781 Message: 127.0.0.1 - - [14/Mar/2022 13:09:13] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:13,789 Message: 127.0.0.1 - - [14/Mar/2022 13:09:13] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:15,802 Message: 127.0.0.1 - - [14/Mar/2022 13:09:15] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:15,802 Message: 127.0.0.1 - - [14/Mar/2022 13:09:15] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:17,782 Message: 127.0.0.1 - - [14/Mar/2022 13:09:17] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:17,782 Message: 127.0.0.1 - - [14/Mar/2022 13:09:17] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:19,798 Message: 127.0.0.1 - - [14/Mar/2022 13:09:19] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:19,798 Message: 127.0.0.1 - - [14/Mar/2022 13:09:19] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:21,796 Message: 127.0.0.1 - - [14/Mar/2022 13:09:21] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:21,796 Message: 127.0.0.1 - - [14/Mar/2022 13:09:21] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:23,796 Message: 127.0.0.1 - - [14/Mar/2022 13:09:23] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:23,796 Message: 127.0.0.1 - - [14/Mar/2022 13:09:23] "POST /sensors HTTP/1.1" 200 -
Time: 2022-03-14 13:09:25,797 Message: 127.0.0.1 - - [14/Mar/2022 13:09:25] "POST /sensors HTTP/1.1" 200 -
